,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
0,Fungalinfection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Fungalinfection,skin_rash,nodal_skin_eruptions,dischromic_patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Fungalinfection,itching,nodal_skin_eruptions,dischromic_patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Fungalinfection,itching,skin_rash,dischromic_patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Fungalinfection,itching,skin_rash,nodal_skin_eruptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Fungalinfection,skin_rash,nodal_skin_eruptions,dischromic_patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fungalinfection,itching,nodal_skin_eruptions,dischromic_patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Fungalinfection,itching,skin_rash,dischromic_patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Fungalinfection,itching,skin_rash,nodal_skin_eruptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Fungalinfection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Allergy,shivering,chills,watering_from_eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Allergy,continuous_sneezing,chills,watering_from_eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Allergy,continuous_sneezing,shivering,watering_from_eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Allergy,continuous_sneezing,shivering,chills,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Allergy,shivering,chills,watering_from_eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
