,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
0,Fungalinfection,15,35,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Fungalinfection,25,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Fungalinfection,15,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Fungalinfection,15,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Fungalinfection,15,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Fungalinfection,25,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fungalinfection,15,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Fungalinfection,15,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Fungalinfection,15,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Fungalinfection,15,35,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Allergy,8,33,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Allergy,24,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Allergy,8,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Allergy,8,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Allergy,8,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Allergy,24,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Allergy,8,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Allergy,8,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Allergy,8,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Allergy,8,33,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GERD,27,1,48,45,5,4,0,0,0,0,0,0,0,0,0,0,0
21,GERD,27,41,49,9,4,0,0,0,0,0,0,0,0,0,0,0,0
22,GERD,27,1,49,9,4,0,0,0,0,0,0,0,0,0,0,0,0
23,GERD,27,1,48,9,4,0,0,0,0,0,0,0,0,0,0,0,0
24,GERD,27,1,48,45,4,0,0,0,0,0,0,0,0,0,0,0,0
25,GERD,27,1,48,45,5,0,0,0,0,0,0,0,0,0,0,0,0
26,GERD,0,41,49,9,4,0,0,0,0,0,0,0,0,0,0,0,0
27,GERD,27,41,49,9,4,0,0,0,0,0,0,0,0,0,0,0,0
28,GERD,27,1,49,9,4,0,0,0,0,0,0,0,0,0,0,0,0
29,GERD,27,1,48,9,4,0,0,0,0,0,0,0,0,0,0,0,0
30,Chroniccholestasis,15,42,53,30,22,1,26,0,0,0,0,0,0,0,0,0,0
31,Chroniccholestasis,29,47,33,26,1,31,0,0,0,0,0,0,0,0,0,0,0
32,Chroniccholestasis,15,47,33,26,1,31,0,0,0,0,0,0,0,0,0,0,0
33,Chroniccholestasis,15,42,33,26,1,31,0,0,0,0,0,0,0,0,0,0,0
34,Chroniccholestasis,15,42,53,26,1,31,0,0,0,0,0,0,0,0,0,0,0
35,Chroniccholestasis,15,42,53,30,1,31,0,0,0,0,0,0,0,0,0,0,0
36,Chroniccholestasis,15,42,53,30,22,31,0,0,0,0,0,0,0,0,0,0,0
37,Chroniccholestasis,15,42,53,30,22,1,0,0,0,0,0,0,0,0,0,0,0
38,Chroniccholestasis,15,42,53,30,22,1,26,0,0,0,0,0,0,0,0,0,0
39,Chroniccholestasis,15,42,53,30,22,1,26,0,0,0,0,0,0,0,0,0,0
40,DrugReaction,15,35,44,6,29,0,0,0,0,0,0,0,0,0,0,0,0
41,DrugReaction,15,37,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0
42,DrugReaction,15,35,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0
43,DrugReaction,15,35,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0
44,DrugReaction,15,35,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0
45,DrugReaction,25,37,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0
46,DrugReaction,15,37,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0
47,DrugReaction,15,35,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0
48,DrugReaction,15,35,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0
49,DrugReaction,15,35,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Pepticulcerdiseae,29,23,0,33,17,0,0,0,0,0,0,0,0,0,0,0,0
51,Pepticulcerdiseae,29,19,0,33,17,0,0,0,0,0,0,0,0,0,0,0,0
52,Pepticulcerdiseae,14,23,0,33,17,0,0,0,0,0,0,0,0,0,0,0,0
53,Pepticulcerdiseae,29,23,0,33,17,0,0,0,0,0,0,0,0,0,0,0,0
54,Pepticulcerdiseae,29,19,0,33,17,0,0,0,0,0,0,0,0,0,0,0,0
55,Pepticulcerdiseae,29,19,29,33,17,0,0,0,0,0,0,0,0,0,0,0,0
56,Pepticulcerdiseae,29,19,29,1,17,0,0,0,0,0,0,0,0,0,0,0,0
57,Pepticulcerdiseae,29,19,29,1,27,0,0,0,0,0,0,0,0,0,0,0,0
58,Pepticulcerdiseae,29,19,29,1,27,17,0,0,0,0,0,0,0,0,0,0,0
59,Pepticulcerdiseae,29,19,29,1,27,17,0,0,0,0,0,0,0,0,0,0,0
60,AIDS,18,30,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0
